"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2016364813",2016-06-10,"4495 N WASHINGTON ST, Denver, CO","1","112","Larceny","INDUSTRY
","globeville"
"2014623271",2014-11-23,"5077 N COLORADO BLVD, Denver, CO","2","212","All Other Crimes","INDUSTRY
","elyria-swansea"
"2014244040",2014-05-14,"11975 E 40TH AVE, Denver, CO","5","512","Criminal Mischief-Property","INDUSTRY
","stapleton"
"2015676079",2015-11-19,"3050 W 49TH AVE, Denver, CO","1","111","Robbery-Street-Res","NON-INDUSTRY
","regis"
"2016198150",2016-03-31,"1270 W CEDAR AVE, Denver, CO","4","411","Burglary","INDUSTRY
","valverde"
"2013176844",2013-04-21,"4615 E COLFAX AVE, Denver, CO","2","222","Burglary","INDUSTRY
","south-park-hill"
"2016754728",2016-11-26,"4750 N NOME ST, Denver, CO","5","511","Burglary","INDUSTRY
","montbello"
"20168174",2016-01-05,"2617 W EVANS AVE, Denver, CO","4","422","Robbery-Street-Res","NON-INDUSTRY
","college-view-south-platte"
"201279168",2012-02-26,"2042 S NAVAJO ST, Denver, CO","4","422","Burglary","INDUSTRY
","college-view-south-platte"
"2016638187",2016-10-05,"3845 N HIGH ST, Denver, CO","2","211","Burglary","NON-INDUSTRY
","cole"
"2016334634",2016-05-28,"7741 E COLFAX AVE, Denver, CO","2","223","Criminal Mischief-Property","INDUSTRY
","east-colfax"
"2016453569",2016-07-18,"4935 N YORK ST, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2012339345",2012-07-28,"1660 E 40TH AVE, Denver, CO","2","211","Burglary","INDUSTRY
","cole"
"2013201481",2013-05-06,"6625 LEETSDALE DR, Denver, CO","3","322","Burglary","INDUSTRY
","washington-virginia-vale"
"2012272251",2012-06-22,"5100 W 38TH AVE, Denver, CO","1","113","Criminal Mischief-Property","INDUSTRY
","west-highland"
"201599854",2015-02-20,"1233 W ALAMEDA AVE, Denver, CO","4","411","Drug Offenses","INDUSTRY
","valverde"
"2016365429",2016-06-11,"688 N BRYANT ST, Denver, CO","1","122","Burglary","INDUSTRY
","sun-valley"
"2015742621",2015-12-23,"695 N BRYANT ST, Denver, CO","1","122","Criminal Mischief-Property","INDUSTRY
","sun-valley"
"2012333707",2012-07-25,"4228 N YORK ST, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"20124752",2012-01-04,"1120 N LOGAN ST, Denver, CO","6","623","Burglary","NON-INDUSTRY
","capitol-hill"
"2014351669",2014-07-08,"1180 S SHERIDAN BLVD, Denver, CO","4","421","Burglary","NON-INDUSTRY
","mar-lee"
"2015515456",2015-09-06,"762 N KALAMATH ST, Denver, CO","1","123","Burglary","INDUSTRY
","lincoln-park"
"2016505830",2016-08-10,"2777 S COLORADO BLVD, Denver, CO","3","314","Burglary","INDUSTRY
","wellshire"
"2013563783",2013-11-22,"1269 N ELATI ST, Denver, CO","6","611","Robbery-Business","INDUSTRY
","civic-center"
"2013471031",2013-09-30,"550 N ALTON WAY, Denver, CO","3","321","All Other Crimes","NON-INDUSTRY
","lowry-field"
"2013471031",2013-09-30,"550 N ALTON WAY, Denver, CO","3","321","Larceny","NON-INDUSTRY
","lowry-field"
"2016568628",2016-09-05,"1626 S SHERIDAN BLVD, Denver, CO","4","421","Burglary","NON-INDUSTRY
","mar-lee"
